Credit Memos,Noty kredytowe
Deny Payment,Odmów płatności
Get Payment Update,Pobierz aktualizację płatności
Invoice and Ship,Faktura i wysyłka
Invoice,Faktura
Ship,Statek
Reorder,Zmień kolejność
Order # %1 %2 | %3,Zamówienie # %1 %2 |  %3
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","To zamówienie zawiera ( %1) elementów i dlatego nie można go edytować za pomocą interfejsu administratora. Jeśli chcesz kontynuować edycję, ( %2) elementy zostaną usunięte, zamówienie zostanie anulowane i zostanie złożone nowe zamówienie."
Are you sure? This order will be canceled and a new one will be created instead.,"Jesteś pewny? To zamówienie zostanie anulowane, a zamiast niego zostanie utworzone nowe."
Save Gift Message,Zapisz wiadomość na prezent
 [deleted], [usunięto]
Order Credit Memos,Zamów noty kredytowe
Credit memo #%1 created,Utworzono notatkę kredytową nr %1
Credit memo #%1 comment added,Dodano notatkę kredytową # %1 komentarz
Shipment #%1 created,Utworzono przesyłkę # %1
Shipment #%1 comment added,Dodano komentarz dotyczący przesyłki # %1
Invoice #%1 created,Utworzono fakturę nr %1
Invoice #%1 comment added,Dodano faktury # %1 komentarz
Tracking number %1 for %2 assigned,Numer śledzenia %1 dla %2 przypisany
Comments History,Historia komentarzy
Order History,Historia zamówień
Information,Informacja
Order Information,Szczegóły zamówienia
Order Invoices,Zamów faktury
Shipments,Przesyłki
Order Shipments,Zamów przesyłki
Transactions,Transakcje
Order View,Zamów widok
Any,Każdy
Specified,Określony
Applies to Any of the Specified Order Statuses except canceled orders,Dotyczy dowolnej z określonych stanów zamówienia z wyjątkiem anulowanych zamówień
Cart Price Rule,Reguła ceny koszyka
Yes,tak
No,Nie
Show Actual Values,Pokaż aktualne wartości
New Order RSS,Nowe zamówienie RSS
Subtotal,Suma częściowa
Shipping & Handling,Wysyłka i obsługa
Discount (%1),Rabat ( %1)
Discount,Zniżka
Grand Total,Łączna suma
Back,Plecy
Fetch,Sprowadzać
Transaction # %1 | %2,Transakcja # %1 |  %2
N/A,Nie dotyczy
Key,Klawisz
Value,Wartość
We found an invalid entity model.,Znaleźliśmy nieprawidłowy model jednostki.
Order # %1,Zamówienie nr %1
Back to My Orders,Powrót do moich zamówień
View Another Order,Wyświetl kolejne zamówienie
About Your Refund,O Twoim Zwrocie
My Orders,Moje zamówienia
Subscribe to Order Status,Zapisz się do statusu zamówienia
About Your Invoice,O Twojej fakturze
Print Order # %1,Polecenie wydruku nr %1
Grand Total to be Charged,Suma całkowita do naładowania
Unassign,Usuń przypisanie
We can't add this item to your shopping cart right now.,Nie możemy teraz dodać tego produktu do koszyka.
You sent the message.,Wysłałeś wiadomość.
Sales,Obroty
Invoice capturing error,Błąd przechwytywania faktury
This order no longer exists.,To zamówienie już nie istnieje.
Please enter a comment.,Wprowadź komentarz.
We cannot add order history.,Nie możemy dodać historii zamówień.
You updated the order address.,Zaktualizowałeś adres zamówienia.
We can't update the order address right now.,Nie możemy teraz zaktualizować adresu zamówienia.
You have not canceled the item.,Nie anulowałeś przedmiotu.
You canceled the order.,Anulowałeś zamówienie.
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","Kod kuponu "" %1"" nie został zastosowany. Nie stosuj upustu dla przedmiotu (ów)"
"""%1"" coupon code is not valid.","Kod kuponu "" %1"" jest nieprawidłowy."
The coupon code has been accepted.,Kod kuponu został zaakceptowany.
Quote item id is not received.,Identyfikator przedmiotu oferty nie został odebrany.
Quote item is not loaded.,Element cytatu nie został załadowany.
New Order,Nowe zamówienie
You created the order.,Utworzono zamówienie.
Order saving error: %1,Błąd zapisu zamówienia: %1
Cannot add new comment.,Nie można dodać nowego komentarza.
The credit memo has been canceled.,Nota kredytowa została anulowana.
Credit memo has not been canceled.,Nota kredytowa nie została anulowana.
New Memo for #%1,Nowa notatka dla # %1
New Memo,Nowa notatka
The credit memo's total must be positive.,Nota kredytowa powinna być dodatnia.
Cannot create online refund for Refund to Store Credit.,Nie można utworzyć zwrotu pieniędzy za zwrot środków do sklepu.
You created the credit memo.,Utworzono notatkę kredytową.
We can't save the credit memo right now.,Nie możemy teraz zapisać notatki kredytowej.
We can't update the item's quantity right now.,Nie możemy teraz zaktualizować ilości produktu.
View Memo for #%1,Wyświetl notatkę dla # %1
View Memo,Zobacz notatkę
You voided the credit memo.,Anulowałeś notę ​​kredytową.
We can't void the credit memo.,Nie możemy anulować kredytu m
The order no longer exists.,Zamówienie już nie istnieje.
We can't create credit memo for the order.,Nie możemy utworzyć noty kredytowej dla zamówienia.
Edit Order,Edytuj zamówienie
You sent the order email.,Wysłałeś wiadomość e-mail z zamówieniem.
We can't send the email order right now.,Nie możemy teraz wysłać zamówienia pocztą elektroniczną.
You have not put the order on hold.,Nie zawiesiłeś zlecenia.
You put the order on hold.,Zamówienie zostało wstrzymane.
You canceled the invoice.,Anulowałeś fakturę.
Invoice canceling error,Błąd anulowania faktury
The invoice has been captured.,Faktura została przechwycona.
The order does not allow an invoice to be created.,Zamówienie nie pozwala na utworzenie faktury.
You can't create an invoice without products.,Nie możesz utworzyć faktury bez produktów.
New Invoice,Nowa faktura
We can't save the invoice right now.,Nie możemy teraz zapisać faktury.
The invoice and the shipment  have been created. The shipping label cannot be created now.,Faktura i wysyłka zostały utworzone. Etykiety wysyłkowej nie można teraz utworzyć.
You created the invoice and shipment.,Utworzono fakturę i wysyłkę.
The invoice has been created.,Faktura została utworzona.
We can't send the invoice email right now.,Nie możemy teraz wysłać e-maila z fakturą.
We can't send the shipment right now.,Nie możemy teraz wysłać przesyłki.
Cannot update item quantity.,Nie można zaktualizować ilości produktu.
The invoice has been voided.,Faktura została unieważniona.
Invoice voiding error,Błąd opróżniania faktury
%1 order(s) cannot be canceled., %1 rzędu (zamówień) nie może być anulowanych.
You cannot cancel the order(s).,Nie można anulować zamówienia (zamówień).
We canceled %1 order(s).,Anulowaliśmy zamówienia (%) w %1.
%1 order(s) were not put on hold.,Kolejność (%) %1 nie została wstrzymana.
No order(s) were put on hold.,Żadne zamówienia nie zostały wstrzymane.
You have put %1 order(s) on hold.,Zawieszono kolejność %1.
%1 order(s) were not released from on hold status., %1 zamówienia (zamówień) nie zostało zwolnionych ze stanu wstrzymania.
No order(s) were released from on hold status.,Żadne zamówienia nie zostały zwolnione ze stanu wstrzymania.
%1 order(s) have been released from on hold status., %1 zamówienia (zamówień) zostało zwolnionych ze stanu wstrzymania.
There are no printable documents related to selected orders.,Brak dokumentów do wydrukowania związanych z wybranymi zamówieniami.
The payment has been accepted.,Płatność została przyjęta.
The payment has been denied.,Płatność została odrzucona.
Transaction has been approved.,Transakcja została zatwierdzona.
Transaction has been voided/declined.,Transakcja została unieważniona / odrzucona.
There is no update for the transaction.,Nie ma aktualizacji dla transakcji.
We can't update the payment right now.,Nie możemy teraz zaktualizować płatności.
You assigned the order status.,Przydzieliłeś status zamówienia.
Something went wrong while assigning the order status.,Coś poszło nie tak podczas przypisywania statusu zamówienia.
We can't find this order status.,Nie możemy znaleźć tego statusu zamówienia.
Create New Order Status,Utwórz nowy status zamówienia
We found another order status with the same order status code.,Znaleźliśmy inny status zamówienia z tym samym kodem statusu zamówienia.
You saved the order status.,Zapisałeś status zamówienia.
We can't add the order status right now.,Nie możemy teraz dodać statusu zamówienia.
You have unassigned the order status.,Masz nieprzypisany status zamówienia.
Something went wrong while unassigning the order.,Coś poszło nie tak podczas cofania przydziału.
Can't unhold order.,Nie można wstrzymać zamówienia.
You released the order from holding status.,Wydałeś zamówienie ze statusu posiadania.
The order was not on hold.,Zamówienie nie zostało wstrzymane.
Exception occurred during order load,Wystąpił wyjątek podczas ładowania zamówienia
Something went wrong while saving the gift message.,Coś poszło nie tak podczas zapisywania wiadomości podarunkowej.
You saved the gift card message.,Zapisałeś wiadomość o karcie podarunkowej.
The payment has been voided.,Płatność została anulowana.
We can't void the payment right now.,Nie możemy teraz anulować płatności.
Please correct the transaction ID and try again.,Popraw identyfikator transakcji i spróbuj ponownie.
The transaction details have been updated.,Szczegóły transakcji zostały zaktualizowane.
We can't update the transaction details.,Nie możemy zaktualizować szczegółów transakcji.
Orders and Returns,Zamówienia i zwroty
You entered incorrect data. Please try again.,Podałeś nieprawidłowe dane. Proszę spróbuj ponownie.
Home,Dom
Go to Home Page,Wróć do strony głównej
We can't find this wish list.,Nie możemy znaleźć tej listy życzeń.
"We could not add a product to cart by the ID ""%1"".","Nie można dodać produktu do koszyka według identyfikatora "" %1""."
There is an error in one of the option rows.,Wystąpił błąd w jednym z wierszy opcji.
Shipping Address: ,Adres wysyłki:
Billing Address: ,Adres rozliczeniowy:
Please specify order items.,Proszę podać elementy zamówienia.
Please specify a shipping method.,Podaj metodę wysyłki.
Please specify a payment method.,Podaj metodę płatności.
This payment method is not available.,Ta metoda płatności jest niedostępna.
Validation is failed.,Sprawdzanie poprawności nie powiodło się.
You did not email your customer. Please check your email settings.,Nie wysłałeś wiadomości e-mail do swojego klienta. Sprawdź ustawienia poczty e-mail.
-- Please Select --,-- Proszę wybrać --
"Path ""%1"" is not part of allowed directory ""%2""","Ścieżka "" %1"" nie jest częścią dozwolonego katalogu "" %2"""
Identifying Fields required,Wymagane pola identyfikacyjne
Id required,Wymagany identyfikator
"""Invoice Document Validation Error(s):\n"" .","""Błąd sprawdzania poprawności dokumentu faktury: \ n""."
"Could not save an invoice, see error log for details","Nie można zapisać faktury, zobacz dziennik błędów, aby uzyskać szczegółowe informacje"
A hold action is not available.,Akcja wstrzymania nie jest dostępna.
You cannot remove the hold.,Nie możesz usunąć wstrzymania.
We cannot cancel this order.,Nie możemy anulować tego zamówienia.
Guest,Gość
Please enter the first name.,Proszę podać imię.
Please enter the last name.,Proszę podać nazwisko.
Please enter the street.,Proszę podać ulicę.
Please enter the city.,Proszę podać miasto.
Please enter the phone number.,Wprowadź numer telefonu.
Please enter the company.,Proszę podać firmę.
Please enter the fax number.,Wprowadź numer faksu.
Please enter the zip/postal code.,Wprowadź kod pocztowy / pocztowy.
Please enter the country.,Proszę podać kraj.
Please enter the state/province.,Wprowadź stan / prowincję.
Requested entity doesn't exist,Żądany podmiot nie istnieje
Could not delete order address,Nie można usunąć adresu zamówienia
Could not save order address,Nie można zapisać adresu zamówienia
Pending,W oczekiwaniu
Refunded,Zwrócono środki
Canceled,Odwołany
Unknown State,Nieznany stan
"We found an invalid quantity to refund item ""%1"".","Znaleźliśmy nieprawidłową ilość do zwrotu "" %1""."
The creditmemo contains product item that is not part of the original order.,"Creditmemo zawiera produkt, który nie jest częścią oryginalnego zamówienia."
The quantity to refund must not be greater than the unrefunded quantity.,Ilość do zwrotu nie może być większa niż ilość nieoficjalna.
Maximum shipping amount allowed to refund is: %1,Maksymalna kwota przesyłki do zwrotu wynosi: %1
Order Id is required for creditmemo document,Identyfikator zamówienia jest wymagany w przypadku dokumentu creditmemo
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","Creditmemo zawiera SKU produktu "" %1"", który nie jest częścią pierwotnego zamówienia."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","Ilość do creditmemo nie może być większa niż nieoficjalna ilość dla SKU produktu "" %1""."
You can't create a creditmemo without products.,Nie możesz utworzyć kredytu bez produktów.
The most money available to refund is %1.,Najwięcej pieniędzy do zwrotu to %1.
Could not delete credit memo,Nie można usunąć notatki kredytowej
Could not save credit memo,Nie można zapisać noty kredytowej
This order already has associated customer account,To zamówienie ma już powiązane konto klienta
Paid,Płatny
We cannot register an existing invoice,Nie możemy zarejestrować istniejącej faktury
We can't create creditmemo for the invoice.,Nie możemy utworzyć creditmemo dla faktury.
Order Id is required for invoice document,Identyfikator zamówienia jest wymagany w przypadku dokumentu faktury
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","Ilość do faktury nie może być większa niż niezafałszowana ilość dla SKU "" %1"" produktu."
The invoice contains one or more items that are not part of the original order.,"Faktura zawiera jeden lub więcej elementów, które nie są częścią pierwotnego zamówienia."
ID required,Wymagany identyfikator
Unknown Status,Nieznany status
Ordered,Zamówione
Shipped,Wysłane
Invoiced,Zafakturowane
Backordered,Wzmocniony
Returned,Zwrócony
Partial,Częściowy
Mixed,Mieszany
Registered a Void notification.,Zarejestrowano powiadomienie o pustce.
"If the invoice was created offline, try creating an offline credit memo.","Jeśli faktura została utworzona w trybie offline, spróbuj utworzyć notę ​​kredytową offline."
We refunded %1 online.,Zwróciliśmy %1 online.
We refunded %1 offline.,Zwróciliśmy %1 offline.
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Zwrócony"". Zwrot wydany przez kupca. Zarejestrowane powiadomienie o zwróconej kwocie %1. Identyfikator transakcji: "" %2"". Nota kredytowa nie została utworzona. Utwórz offline notę ​​kredytową."
The credit memo has been created automatically.,Nota kredytowa została utworzona automatycznie.
Registered notification about refunded amount of %1.,Zarejestrowane powiadomienie o zwróconej kwocie %1.
Canceled order online,Anulowane zamówienie online
Canceled order offline,Anulowane zamówienie w trybie offline
Approved the payment online.,Zatwierdzono płatność online.
There is no need to approve this payment.,Nie ma potrzeby zatwierdzania tej płatności.
Denied the payment online,Odmowa płatności online
Registered update about approved payment.,Zarejestrowana aktualizacja dotycząca zatwierdzonej płatności.
Registered update about denied payment.,Zarejestrowana aktualizacja dotycząca odmowy płatności.
There is no update for the payment.,Brak aktualizacji płatności.
Voided authorization.,Unieważniono autoryzację.
Amount: %1.,Kwota: %1.
"Transaction ID: ""%1""","Identyfikator transakcji: "" %1"""
The payment method you requested is not available.,Żądana metoda płatności jest niedostępna.
The payment disallows storing objects.,Płatność uniemożliwia przechowywanie obiektów.
"The transaction ""%1"" cannot be captured yet.","Transakcji "" %1"" nie można jeszcze przechwycić."
The order amount of %1 is pending approval on the payment gateway.,Kwota zamówienia %1 oczekuje na zatwierdzenie w bramce płatności.
Ordered amount of %1,Zamówiona kwota %1
An amount of %1 will be captured after being approved at the payment gateway.,Kwota %1 zostanie przechwycona po zatwierdzeniu w bramce płatności.
Registered notification about captured amount of %1.,Zarejestrowane powiadomienie o przechwyconej ilości %1.
Order is suspended as its capture amount %1 is suspected to be fraudulent.,"Zamówienie zostało zawieszone, ponieważ jego kwota przechwytywania %1 jest podejrzewana o nieuczciwość."
The parent transaction ID must have a transaction ID.,Identyfikator transakcji nadrzędnej musi mieć identyfikator transakcji.
Payment transactions disallow storing objects.,Transakcje płatności uniemożliwiają przechowywanie obiektów.
"The transaction ""%1"" (%2) is already closed.","Transakcja "" %1"" ( %2) jest już zamknięta."
Set order for existing transactions not allowed,Ustaw kolejność dla istniejących transakcji jest niedozwolona
"At minimum, you need to set a payment ID.",Co najmniej musisz ustawić identyfikator płatności.
Order,Zamówienie
Authorization,Upoważnienie
"We found an unsupported transaction type ""%1"".","Znaleźliśmy nieobsługiwany typ transakcji "" %1""."
Please set a proper payment and order id.,Ustaw prawidłową płatność i identyfikator zamówienia.
Please enter a Transaction ID.,Wprowadź identyfikator transakcji.
You can't do this without a transaction object.,Nie można tego zrobić bez obiektu transakcji.
Order # ,Zamówienie #
Order Date: ,Data zamówienia:
Sold to:,Sprzedany:
Ship to:,Dostawa do:
Payment Method:,Metoda płatności:
Shipping Method:,Sposób wysyłki:
Total Shipping Charges,Całkowite koszty wysyłki
Title,Tytuł
Number,Numer
We found an invalid renderer model.,Znaleźliśmy nieprawidłowy model renderera.
Please define the PDF object before using.,Zdefiniuj obiekt PDF przed użyciem.
"We don't recognize the draw line data. Please define the ""lines"" array.","Nie rozpoznajemy danych linii wyciągania. Zdefiniuj tablicę ""lines""."
Products,Produkty
Total (ex),Razem (ex)
Qty,Ilość
Tax,Podatek
Total (inc),Łącznie (inc)
Credit Memo # ,Nota kredytowa #
Invoice # ,Faktura #
The order object is not specified.,Obiekt zamówienia nie został określony.
The source object is not specified.,Obiekt źródłowy nie jest określony.
An item object is not specified.,Obiekt elementu nie został określony.
A PDF object is not specified.,Obiekt PDF nie został określony.
A PDF page object is not specified.,Obiekt strony PDF nie został określony.
Excl. Tax,Excl. Podatek
Incl. Tax,Incl. Podatek
Packing Slip # ,Packing Slip #
title,tytuł
The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.,Pełny model PDF %1 musi być rozszerzony \ Magento \ Sales \ Model \ Order \ Pdf \ Total \ DefaultTotal.
We cannot register an existing shipment,Nie możemy zarejestrować istniejącej przesyłki
Parent shipment cannot be loaded for track object.,Nie można załadować przesyłki nadrzędnej dla obiektu ścieżki.
Order Id is required for shipment document,Identyfikator zamówienia jest wymagany w przypadku dokumentu wysyłki
You can't create a shipment without products.,Nie możesz utworzyć przesyłki bez produktów.
"The shipment contains product SKU ""%1"" that is not part of the original order.","Przesyłka zawiera SKU produktu "" %1"", który nie jest częścią pierwotnego zamówienia."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","Ilość do wysłania nie może być większa niż ilość wysyłkowa dla SKU produktu "" %1""."
Please enter a tracking number.,Wprowadź numer śledzenia.
Could not delete shipment,Nie można usunąć przesyłki
Could not save shipment,Nie można zapisać przesyłki
The last status can't be unassigned from its current state.,Ostatniego statusu nie można cofnąć z jego obecnego stanu.
"Status can't be unassigned, because it is used by existing order(s).","Status nie może zostać cofnięty, ponieważ jest używany przez istniejące zamówienia."
The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.,Całkowity model powinien zostać przedłużony z \ Magento \ Sales \ Model \ Order \ Total \ AbstractTotal.
An invoice cannot be created when an order has a status of %1,"Faktury nie można utworzyć, gdy zamówienie ma status %1"
A creditmemo can not be created when an order has a status of %1,"Kredytu nie można utworzyć, gdy zamówienie ma status %1"
The order does not allow a creditmemo to be created.,Zamówienie nie pozwala na utworzenie kredytu kredytowego.
A shipment cannot be created when an order has a status of %1,"Przesyłka nie może zostać utworzona, gdy zamówienie ma status %1"
The order does not allow a shipment to be created.,Zamówienie nie pozwala na utworzenie przesyłki.
"""Creditmemo Document Validation Error(s):\n"" .","""Błąd sprawdzania poprawności dokumentów kredytowych: \ n""."
"Could not save a Creditmemo, see error log for details","Nie można zapisać Creditmemo, zobacz dziennik błędów, aby poznać szczegóły"
We cannot determine the field name.,Nie możemy określić nazwy pola.
City,Miasto
Company,Firma
Country,Kraj
Email,E-mail
First Name,Pierwsze imię
Last Name,Nazwisko
State/Province,Stan / prowincja
Street Address,Adres ulicy
Phone Number,Numer telefonu
Zip/Postal Code,Kod pocztowy
We can't save the address:\n%1,Nie możemy zapisać adresu: \ n %1
Cannot save comment:\n%1,Nie można zapisać komentarza: \ n %1
We don't have enough information to save the parent transaction ID.,"Nie mamy wystarczających informacji, aby zapisać macierzysty identyfikator transakcji."
We cannot create an empty shipment.,Nie możemy utworzyć pustej przesyłki.
Cannot save track:\n%1,Nie można zapisać śladu: \ n %1
Cannot unassign status from state,Nie można cofnąć statusu ze stanu
New Orders,Nowe zamówienia
Order #%1 created at %2,Zamówienie nr %1 utworzone na %2
Details for %1 #%2,Szczegóły dla %1 # %2
Notified Date: %1,Data powiadomienia: %1
Comment: %1<br/>,Komentarz: %1 <br/>
Current Status: %1<br/>,Bieżący status: %1 <br/>
Total: %1<br/>,Łącznie: %1 <br/>
Order # %1 Notification(s),Zamówienie nr %1 Powiadomienia
You can not cancel Credit Memo,Nie możesz anulować noty kredytowej
Could not cancel creditmemo,Nie można anulować kredytu creditmemo
We cannot register an existing credit memo.,Nie możemy zarejestrować istniejącej noty kredytowej.
"We found an invalid quantity to invoice item ""%1"".","Znaleźliśmy nieprawidłową ilość do faktury "" %1""."
"The Order State ""%1"" must not be set manually.","Stan zamówienia "" %1"" nie może być ustawiony ręcznie."
"""Shipment Document Validation Error(s):\n"" .","""Błędy sprawdzania poprawności dokumentu wysyłki: \ n""."
"Could not save a shipment, see error log for details","Nie można zapisać przesyłki, zobacz dziennik błędów, aby uzyskać szczegółowe informacje"
VAT Request Identifier,Identyfikator żądania VAT
VAT Request Date,Data wniosku VAT
Pending Payment,Oczekująca płatność
Processing,Przetwarzanie
On Hold,W oczekiwaniu
Complete,Kompletny
Closed,Zamknięte
Suspected Fraud,Podejrzane oszustwo
Payment Review,Przegląd płatności
New,Nowy
test message,wiadomość testowa
Email has not been sent,Email nie został wysłany
Authorized amount of %1.,Autoryzowana kwota %1.
We will authorize %1 after the payment is approved at the payment gateway.,Autoryzujemy %1 po zatwierdzeniu płatności w bramce płatności.
Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.,"Autoryzowana kwota %1. Zamówienie zostaje zawieszone, ponieważ jego autoryzująca kwota %1 jest podejrzewana o oszustwo."
Captured amount of %1 online.,Przechwycono kwotę %1 online.
Authorized amount of %1,Autoryzowana kwota %1
" Transaction ID: ""%1"""," Identyfikator transakcji: "" %1"""
View,Widok
Group was removed,Grupa została usunięta
"Changing address information will not recalculate shipping, tax or other order amount.","Zmiana danych adresowych nie spowoduje ponownego obliczenia kwoty dostawy, podatku lub innego zamówienia."
Comment Text,Tekst komentarza
Notify Customer by Email,Powiadom klienta e-mailem
Visible on Storefront,Widoczny na stronie sklepu
Customer,Klient
Notified,Powiadomiony
Not Notified,Not Notified
No Payment Methods,Brak metod płatności
Order Comments,Zamów komentarze
Apply Coupon Code,Zastosuj kod kuponu
Apply,Zastosować
Remove Coupon Code,Usuń kod kuponu
Remove,Usunąć
Address Information,Informacje adresowe
Payment &amp; Shipping Information,Płatność i płatność informacje wysyłkowe
Order Total,Suma zamówienia
Order Currency:,Zamów walutę:
Same As Billing Address,Taki sam jak adres rozliczeniowy
Select from existing customer addresses:,Wybierz z istniejących adresów klientów:
Add New Address,Dodaj nowy adres
Save in address book,Zapisz w książce adresowej
You don't need to select a shipping address.,Nie musisz wybierać adresu dostawy.
Gift Message for the Entire Order,Wiadomość prezentowa dla całego zamówienia
