Root,Korzeń
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Kod atrybutu ""% 1"" jest nieprawidłowy. W tym polu należy używać tylko liter (a-z), liczb (0-9) lub podkreślenia (_), pierwszym znakiem powinno być litera."
We can't update the attribute.,Nie można zaktualizować atrybutu.
You saved the product attribute.,Zapisałeś atrybut produktu.
An attribute with this code already exists.,Atrybut z tym kodem już istnieje.
An attribute with the same code (%1) already exists.,Atrybut z tym samym kodem (% 1) już istnieje.
The value of Admin must be unique.,Wartość Admin musi być unikalna.
The value of Admin scope can't be empty.,Wartość zakresu Admin nie może być pusta.
You duplicated the product.,Powielałeś produkt.
This product doesn't exist.,Ten produkt nie istnieje.
Invalid product id. Should be numeric value greater than 0,Nieprawidłowy identyfikator produktu. Powinien być liczbą większą niż 0
Products,Produkty
A group with the same name already exists.,Grupa już o tej samej nazwie istnieje.
Something went wrong while saving this group.,Wystąpił błąd podczas zapisywania tej grupy.
A total of %1 record(s) have been deleted.,Usunięto co najmniej 1 rekordy.
A total of %1 record(s) have been updated.,Zostało zaktualizowane łącznie 1 rekordy.
Something went wrong while updating the product(s) status.,Podczas aktualizowania stanu produktu (s) wystąpił błąd.
Unable to save product,Nie można zapisać produktu
You saved the product.,Zapisałeś produkt.
SKU for product %1 has been changed to %2.,SKU dla produktu% 1 został zmieniony na% 2.
The image cannot be removed as it has been assigned to the other image role,"Obraz nie może zostać usunięty, ponieważ został przypisany do innej roli obrazu"
New Attribute Set,Nowy zestaw atrybutów
The attribute set has been removed.,Zestaw atrybutów został usunięty.
We can't delete this set right now.,Nie możemy teraz usunąć tego zestawu.
New Set,Nowy zestaw
Manage Product Sets,Zarządzaj zestawami produktów
Manage Attribute Sets,Zarządzaj zestawami atrybutów
This attribute set no longer exists.,Ten zestaw atrybutów już nie istnieje.
You saved the attribute set.,Zapisałeś zestaw atrybutów.
Something went wrong while saving the attribute set.,Coś poszło nie tak podczas zapisywania zestawu atrybutów.
You added product %1 to the comparison list.,Dodałeś produkt% 1 do listy porównawczej.
You cleared the comparison list.,Wyczyszczono listę porównania.
Something went wrong  clearing the comparison list.,"Coś poszło nie tak, czyszcząc listę porównawczą."
You removed product %1 from the comparison list.,Usunął produkt% 1 z listy porównania.
1 item,1 pozycja
%1 items,% 1 elementów
Are you sure you want to remove this item from your Compare Products list?,Czy na pewno chcesz usunąć ten element z listy Porównaj produkty?
Are you sure you want to remove all items from your Compare Products list?,Czy na pewno chcesz usunąć wszystkie elementy z listy Porównaj produkty?
Invalid attribute %1,Nieprawidłowy atrybut% 1
Grid,Krata
List,Lista
All,Wszystko
Bad controller interface for showing product,Złą kontrolę interfejsu do wyświetlania produktu
Product is not loaded,Produkt nie jest ładowany
Make sure the To Date is later than or the same as the From Date.,"Upewnij się, że data ""To"" jest późniejsza niż data ""Od""."
"Sorry, but we can't find the new parent category you selected.","Przepraszamy, ale nie można znaleźć nowej kategorii nadrzędnej, którą wybrałeś."
"Sorry, but we can't find the new category you selected.","Przepraszamy, ale nie możemy znaleźć nowej wybranej kategorii."
We can't move the category because the parent category name matches the child category name.,"Nie można przenieść tej kategorii, ponieważ nazwa kategorii nadrzędnej jest zgodna z nazwą kategorii podrzędnej."
Something went wrong while getting the image url.,Coś poszło nie tak podczas pobierania adresu URL obrazu.
Can't delete root category.,Nie można usunąć kategorii głównej.
"The value of attribute ""%1"" must be unique.","Wartość atrybutu ""% 1"" musi być unikatowa."
Default Product Listing Sort by does not exist in Available Product Listing Sort By.,Domyślna lista produktów Sortuj według nie istnieje w dostępnym zestawieniu produktów Sortuj.
No layout updates,Brak aktualizacji układu
Products only,Tylko produkty
Static block only,Tylko blok statyczny
Static block and products,Blok statyczny i produkty
Please select a static block.,Wybierz blok statyczny.
frontend_label,frontend_label
"Could not save product ""%1"" with position %2 to category %3","Nie można zapisać produktu ""% 1"" z pozycją% 2 do kategorii% 3"
Category does not contain specified product,Kategoria nie zawiera określonego produktu
"Could not save product ""%product"" with position %position to category %category","Nie udało się zapisać produktu ""% product"" z pozycją% position do kategorii% category"
Operation do not allow to move a parent category to any of children category,Działanie nie zezwala na przenoszenie kategorii nadrzędnej do kategorii dzieci
Could not move category,Nie można przenieść kategorii
Could not save category: %1,Nie można zapisać kategorii:% 1
Cannot delete category with id %1,Nie można usunąć kategorii z identyfikatorem% 1
-- Please Select a Category --,- Proszę wybrać kategorię -
Grid Only,Tylko siatka
List Only,Tylko lista
Grid (default) / List,Siatka (domyślnie) / lista
List (default) / Grid,Lista (domyślnie) / Siatka
Automatic (equalize price ranges),Automatyczne (wyrównanie zakresów cen)
Automatic (equalize product counts),Automatycznie (wyrównuje liczebność produktów)
Manual,podręcznik
Fixed,Naprawiony
Percent,Procent
Discount,Zniżka
-- Please select --,-- Proszę wybrać --
Product Thumbnail Itself,Miniatura produktu
Parent Product Thumbnail,Miniatura produktu dla rodziców
12h AM/PM,12 godz. AM / PM
24h,24h
Stretch,Rozciągać
Tile,Dachówka
Top/Left,Lewy górny
Top/Right,W prawym górnym rogu
Bottom/Left,Na dole po lewej
Bottom/Right,Prawy dolny
Center,Centrum
%1 doesn't extends \Magento\Framework\Model\AbstractModel,% 1 nie rozciąga się \ Magento \ Framework \ Model \ AbstractModel
Something went wrong while saving the file(s).,Podczas zapisywania pliku (plików) wystąpił błąd.
File can not be saved to the destination folder.,Plik nie może zostać zapisany w folderze docelowym.
"Unknown EAV indexer type ""%1"".","Nieznany typ indeksu EAV ""% 1""."
We can't rebuild the index for an undefined product.,Nie można odbudować indeksu dla niezdefiniowanego produktu.
Bad value was supplied.,Zła wartość została dostarczona.
The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module,"Moduł Katalogu plazmowego ma ograniczony atrybut do filtrowania i / lub sortowania% 2 $ d. Aktualnie istnieje% 1 $ d z nich. Zwiększ liczbę atrybutów, które można filtrować / sortować, aby móc korzystać z tego modułu"
"Unsupported product type ""%1"".","Nieobsługiwany typ produktu ""% 1""."
Please correct the category.,Proszę poprawić kategorię.
Must be category model instance or its id.,Musi być przykładem modelu kategorii lub jego identyfikatorem.
The attribute model is not defined.,Model atrybutu nie jest zdefiniowany.
Category,Kategoria
%1 - %2,% 1 -% 2
%1 was not found in algorithms,% 1 nie został znaleziony w algorytmach
%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface,% 1 nie rozszerza \ Magento \ Catalog \ Model \ Layer \ Filter \ Dynamic \ AlgorithmInterface
%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter,% 1 nie rozciąga się \ Magento \ Catalog \ Model \ Layer \ Filter \ AbstractFilter
The filter must be an object. Please set the correct filter.,Filtr musi być obiektem. Proszę ustawić prawidłowy filtr.
Clear Price,Wyczyść cenę
%1 and above,% 1 i powyżej
The filters must be an array.,Filtry muszą być tablicą.
Product was not registered,Produkt nie został zarejestrowany
Store was not registered,Sklep nie został zarejestrowany
Group price must be a number greater than 0.,Cena grupy musi wynosić więcej niż 0.
Media Gallery converter should be an instance of EntryConverterInterface.,Konwerter Media Gallery powinien być przykładem InputConverterInterface.
There is no MediaGalleryEntryConverter for given type,Dla danego typu nie ma MediaGalleryEntryConverter
Please enter a number 0 or greater in this field.,W tym polu wprowadź liczbę 0 lub większą.
"The value of attribute ""%1"" must be set","Wartość atrybutu ""% 1"" musi być ustawiona"
SKU length should be %1 characters maximum.,Długość SKU powinna wynosić maksymalnie 1%.
Please enter a valid number in this field.,W tym polu wprowadź prawidłowy numer.
"We found a duplicate website, tier price, customer group and quantity.","Znaleźliśmy duplikat strony internetowej, tier price, grupa klientów i ilość."
Percentage value must be a number between 0 and 100.,Wartość procentowa musi wynosić od 0 do 100.
Invalid option id %1,Nieprawidłowa identyfikator opcji% 1
Can not create attribute set based on non product attribute set.,Nie można utworzyć zestawu atrybutów na podstawie zestawu atrybutów innych firm.
Can not create attribute set based on not existing attribute set,Nie można utworzyć zestawu atrybutów na podstawie nieistniejącego zestawu atrybutów
Provided Attribute set non product Attribute set.,Dostarczony zestaw atrybutów ustawia zestaw atrybutów innego produktu.
Use config,Użyj config
Enabled,Włączone
Disabled,Niepełnosprawny
Attribute Set already exists.,Zestaw atrybutów już istnieje.
We couldn't copy file %1. Please delete media with non-existing images and try again.,Nie można skopiować pliku% 1. Usuń nośniki z obrazami nie istniejącymi i spróbuj ponownie.
The image content is not valid.,Treść obrazu jest nieprawidłowa.
Cannot save product.,Nie można zapisać produktu.
Failed to save new media gallery entry.,Nie udało się zapisać nowej galerii multimediów.
There is no image with provided ID.,Nie ma obrazu z podanym ID.
Such product doesn't exist,Taki produkt nie istnieje
Such image doesn't exist,Taki obraz nie istnieje
The image does not exist.,Obraz nie istnieje.
Please correct the image file type.,Proszę poprawić typ pliku obrazu.
We couldn't move this file: %1.,Nie można przenieść tego pliku:% 1.
The option type to get group instance is incorrect.,Typ opcji w celu uzyskania instancji grupy jest niepoprawny.
Select type options required values rows.,Wybierz typ opcji wymagane wiersze wartości.
ProductSku should be specified,Należy określić ProductSku
Could not remove custom option,Nie można usunąć niestandardowej opcji
Please specify date required option(s).,Proszę podać datę wymaganą (ych).
Please specify time required option(s).,Proszę podać wymaganą ilość czasu.
Please specify product's required option(s).,Proszę podać wymaganą opcję (y) produktu.
The option instance type in options group is incorrect.,Typ instancji opcjonalnej w grupie opcji jest niepoprawny.
The product instance type in options group is incorrect.,Typ instancji produktu w grupie opcji jest nieprawidłowy.
The configuration item option instance in options group is incorrect.,Opcja elementu opcji konfiguracji w grupie opcji jest nieprawidłowa.
The configuration item instance in options group is incorrect.,Instancja elementu konfiguracji w grupie opcji jest nieprawidłowa.
The BuyRequest instance in options group is incorrect.,Instancja BuyRequest w grupie opcji jest nieprawidłowa.
We can't add the product to the cart because of an option validation issue.,Nie możemy dodać produktu do koszyka z powodu kwestii walidacji opcji.
%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType,% 1 nie rozciąga się \ Magento \ Catalog \ Model \ Product \ Option \ Type \ DefaultType
The file options format is not valid.,Format opcji plików nie jest prawidłowy.
px.,px.
The file '%1' for '%2' has an invalid extension.,Plik '% 1' dla '% 2' ma nieprawidłowe rozszerzenie.
The maximum allowed image size for '%1' is %2x%3 px.,Maksymalny dozwolony rozmiar obrazu dla '% 1' to% 2x% 3 px.
The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.,"Plik ""% 1"" przesłany jest większy niż dozwolony przez nasz serwer% 2 megabajtów."
The file '%1' is empty. Please choose another one,Plik '% 1' jest pusty. Proszę wybrać inny
The file '%1' is invalid. Please choose another one,Plik '% 1' jest nieprawidłowy. Proszę wybrać inny
File '%1' is not an image.,Plik '% 1' nie jest obrazem.
Validation failed. Required options were not filled or the file was not uploaded.,Nieudana walidacja. Wymagane opcje nie zostały wypełnione lub plik nie został przesłany.
The file you uploaded is larger than %1 Megabytes allowed by server,Plik przesłany jest większy niż% 1 megabajty dozwolone przez serwer
Option required.,Wymagana opcja.
The file is empty. Please choose another one,Plik jest pusty. Proszę wybrać inny
Some of the selected item options are not currently available.,Niektóre z wybranych opcji nie są obecnie dostępne.
The text is too long.,Tekst jest za długi.
Invalid attribute %fieldName = %fieldValue.,Nieprawidłowy atrybut% fieldName =% fieldValue.
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Nie znaleziono szukanego sklepu. Idę wiersza: SKU =% SKU, identyfikator sklepu:% storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Nieprawidłowy atrybut Koszt =% koszt. Idę wiersza: SKU =% SKU, identyfikator sklepu:% storeId."
Could not save Prices.,Nie można zaoszczędzić cen.
Could not delete Prices,Nie można usunąć cen
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Żądany produkt nie istnieje. Identyfikator wiersza: SKU =% SKU, identyfikator sklepu:% storeId, cena od:% priceFrom, cena do:% priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Nie znaleziono szukanego sklepu. Identyfikator wiersza: SKU =% SKU, identyfikator sklepu:% storeId, cena od:% priceFrom, cena do:% priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Nieprawidłowy atrybut% label =% priceTo. Identyfikator wiersza: SKU =% SKU, identyfikator sklepu:% storeId, cena od:% priceFrom, cena do:% priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Nieprawidłowy atrybut Cena =% cena. Identyfikator wiersza: SKU =% SKU, identyfikator sklepu:% storeId, cena od:% priceFrom, cena do:% priceTo."
Could not save Tier Prices,Nie można zaoszczędzić cen
Could not replace Tier Prices,Nie można zastąpić Ceny podstawowej
Could not delete Tier Prices,Nie można usunąć cen podstawowych
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nieprawidłowy atrybut SKU =% SKU. Identyfikator wiersza: SKU =% SKU, Identyfikator witryny:% websiteId, Grupa klientów:% customerGroup, Ilość:% qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nieprawidłowy atrybut Cena =% cena. Identyfikator wiersza: SKU =% SKU, Identyfikator witryny:% websiteId, Grupa klientów:% customerGroup, Ilość:% qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nieprawidłowy atrybut Price Type =% priceType. Identyfikator wiersza: SKU =% SKU, Identyfikator witryny:% websiteId, Grupa klientów:% customerGroup, Ilość:% qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nieprawidłowy atrybut Quantity =% qty. Identyfikator wiersza: SKU =% SKU, Identyfikator witryny:% websiteId, Grupa klientów:% customerGroup, Ilość:% qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nieprawidłowy atrybut Identyfikator witryny =% websiteId. Identyfikator wiersza: SKU =% SKU, Identyfikator witryny:% websiteId, Grupa klientów:% customerGroup, Ilość:% qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Znaleźliśmy zduplikowaną stronę internetową, cenę detaliczną, grupę klientów i ilość: Grupa klientów =% customerGroup, identyfikator witryny =% websiteId, Quantity =% qty. Identyfikator wiersza: SKU =% SKU, Identyfikator witryny:% websiteId, Grupa klientów:% customerGroup, Ilość:% qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Brak takiego podmiotu z grupą klientów =% customerGroup. Identyfikator wiersza: SKU =% SKU, Identyfikator witryny:% websiteId, Grupa klientów:% customerGroup, Ilość:% qty."
This product doesn't have tier price,Ten produkt nie ma ceny
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Produkt nie ma ceny grupowej z takimi danymi: customerGroupId = '% 1', strona =% 2, qty =% 3"
Invalid data provided for tier_price,Nieprawidłowe dane podano dla tier_price
Could not save group price,Nie udało się zapisać ceny grupowej
Please provide valid data,Podaj ważne dane
Values of following attributes are invalid: %1,Wartości następujących atrybutów są nieważne:% 1
"We can't create writeable directory ""%1"".","Nie można utworzyć katalogu do zapisu ""% 1""."
The file upload failed.,Przesyłanie plików nie powiodło się.
The product has required options.,Produkt wymaga opcji.
Something went wrong while processing the request.,Podczas przetwarzania żądania wystąpił błąd.
%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType,% 1 nie rozciąga się \ Magento \ Catalog \ Model \ Product \ Type \ AbstractType
%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price,% 1 nie rozciąga się \ Magento \ Catalog \ Model \ Product \ Type \ Price
Not Visible Individually,Nie jest widoczny indywidualnie
Search,Szukanie
"Catalog, Search","Katalog, wyszukiwanie"
Something went wrong while removing products from the websites.,Wystąpił błąd podczas usuwania produktów ze stron internetowych.
Something went wrong while adding products to websites.,Coś poszło nie tak podczas dodawania produktów do witryn internetowych.
"Group with id ""%1"" does not exist.","Grupa z id ""% 1"" nie istnieje."
Attribute group that contains system attributes can not be deleted,"Nie można usunąć grupy atrybutów, która zawiera atrybuty systemu"
Collection provider is not registered,Dostawca kolekcji nie jest zarejestrowany
Unknown link type: %1,Nieznany typ łącza:% 1
"Provided link type ""%1"" does not exist","Podany typ łącza ""% 1"" nie istnieje"
Invalid data provided for linked products,Nieprawidłowe dane dostarczone dla połączonych produktów
Product with SKU '%1' is not linked to product with SKU '%2',Produkt z SKU '% 1' nie jest powiązany z produktem z SKU '% 2'
Product %1 doesn't have linked %2 as %3,Produkt% 1 nie ma powiązanego% 2 jako% 3
Requested product doesn't exist,Żądany produkt nie istnieje
Requested product does not support images.,Żądany produkt nie obsługuje zdjęć.
"Product with SKU ""%1"" does not exist","Produkt z SKU ""% 1"" nie istnieje"
Invalid product data: %1,Nieprawidłowe dane produktu:% 1
Database connection error,Błąd połączenia z bazą danych
Database deadlock found when trying to get lock,Blokada bazy danych została znaleziona podczas próby zablokowania
Database lock wait timeout exceeded,Przekroczono limit czasu oczekiwania na blokadę bazy danych
Unable to remove product %1,Nie można usunąć produktu% 1
There are not websites for assign to product,Nie ma stron do przypisania produktu
"Could not assign product ""%1"" to websites ""%2""","Nie można przypisać produktu ""% 1"" do witryn ""% 2"""
"Could not save product ""%1"" with websites %2","Nie można zapisać produktu ""% 1"" ze stronami internetowymi% 2"
We cannot determine the field name.,Nie możemy ustalić nazwy pola.
Attribute '%1' is locked. %2,Atrybut '% 1' jest zablokowany. % 2
Do not change the scope. %1,Nie zmieniaj zakresu. % 1
Processor %1 doesn't implement BaseSelectProcessorInterface,Procesor% 1 nie implementuje BaseSelectProcessorInterface
A product type is not defined for the indexer.,Typ produktu nie jest zdefiniowany dla indeksera.
%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice,% 1 nie rozszerza \ Magento \ Catalog \ Model \ ResourceModel \ Product \ Indexer \ Price \ DefaultPrice
Product with SKU %1 is not linked to product with SKU %2,Produkt z SKU% 1 nie jest powiązany z produktem z SKU% 2
Multiple Select,Wybór wielokrotny
Dropdown,Upuścić
%1 doesn't extend \Magento\Framework\Filter\Template,% 1 nie rozszerza \ Magento \ Framework \ Filter \ Template
As low as,Tak niski jak
test,test
Could not get extension attributes,Nie można uzyskać atrybutów rozszerzenia
message,wiadomość
Some exception,Niektóre wyjątki
fl,fl
Lock wait timeout,Zablokuj czas oczekiwania
123,123
