Priority Mail Express International Flat Rate Envelope,Priority Mail Express Międzynarodowa koperta o stałej częstotliwości
Priority Mail International Large Flat Rate Box,Poczta priorytetowa International Large Flat Rate Box
USPS GXG Envelopes,Koperty USPS GXG
First-Class Mail International Letter,List międzynarodowy pierwszej klasy
First-Class Mail International Large Envelope,Pierwsza klasa Międzynarodowa duża koperta
First-Class Package International Service,Międzynarodowa usługa Package First Class
Priority Mail International Small Flat Rate Box,Poczta priorytetowa International Small Flat Rate Box
Priority Mail Express International Legal Flat Rate Envelope,Priority Mail Express Międzynarodowa legalna płaska koperta
Priority Mail International Gift Card Flat Rate Envelope,Priority Mail International Gift Card Flat Rate Envelope
Priority Mail International Window Flat Rate Envelope,Poczta priorytetowa International Window Flat Rate Envelope
Priority Mail International Small Flat Rate Envelope,Poczta priorytetowa International Small Flat Rate Envelope
First-Class Mail International Postcard,Poczta międzynarodowa Poczta międzynarodowa
Priority Mail International Legal Flat Rate Envelope,Poczta priorytetowa Międzynarodowa koperta o stałej stopie procentowej
Priority Mail International Padded Flat Rate Envelope,Priority Mail International Padded Flat Rate Envelope
Priority Mail International DVD Flat Rate priced box,Poczta priorytetowa Priority Mail International DVD Flat Rate
Priority Mail International Large Video Flat Rate priced box,Poczta priorytetowa Poczta priorytetowa International Large Video Flat Rate
Priority Mail Express International Padded Flat Rate Envelope,Priority Mail Express International Padded Flat Rate Envelope
Letter,List
Flat,Mieszkanie
Parcel,Paczka
Variable,Zmienna
Small Flat-Rate Box,Małe pole ryczałtowe
Medium Flat-Rate Box,Średni stawka ryczałtowa
Large Flat-Rate Box,Duże pole ryczałtowe
Flat-Rate Envelope,Koperta o stałej szybkości
Small Flat-Rate Envelope,Mała płaska koperta
Window Flat-Rate Envelope,Koperta okienna o stałej przepustowości
Gift Card Flat-Rate Envelope,Koperta o stałej cenie z kopertą
Legal Flat-Rate Envelope,Prawna ryczałtowa koperta
Padded Flat-Rate Envelope,Wyściełana płaska koperta
Rectangular,Prostokątny
Non-rectangular,Nieprostokątny
Regular,Regularny
Large,Duży
Yes,tak
No,Nie
Not Required,Nie wymagane
Required,wymagany
For some reason we can't retrieve tracking info right now.,Z jakiegoś powodu nie możemy teraz pobrać informacji o śledzeniu.
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Przepraszam, coś poszło nie tak. Spróbuj ponownie lub skontaktuj się z nami, a postaramy się pomóc."
track_summary,track_summary
Empty response,Pusta odpowiedź
Service type does not match,Typ usługi nie pasuje
Merchandise,Towar
Sample,Próba
Gift,Prezent
Documents,Dokumenty
Return,Powrót
Other,Inny
None,Żaden
Field ,Pole
 is required., jest wymagane.
USPS,USPS
Enabled for Rachunekout,Włączono w celu realizacji transakcji
Gateway URL,Adres URL bramy
Secure Gateway URL,Bezpieczny adres URL bramy
Title,Tytuł
User ID,identyfikator użytkownika
Password,Hasło
Mode,Tryb
Packages Request Type,Typ wniosku paczki
Container,Pojemnik
Size,Rozmiar
Width,Szerokość
Length,Długość
Height,Wysokość
Girth,Obwód
Machinable,Możliwość obróbki mechanicznej
Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight),"Maksymalna waga paczki (skonsultuj się ze swoim przewoźnikiem, aby uzyskać maksymalną obsługiwaną wagę przesyłki)"
Calculate Handling Fee,Oblicz opłatę manipulacyjną
Handling Applied,Obsługa stosowana
Handling Fee,Opłata manipulacyjna
Allowed Methods,Dozwolone metody
Free Method,Darmowa metoda
Enable Free Shipping Threshold,Włącz próg bezpłatnej wysyłki
Free Shipping Amount Threshold,Bezpłatna wysyłka kwoty progowej
Displayed Error Message,Wyświetlany komunikat o błędzie
Ship to Applicable Countries,Wyślij do odpowiednich krajów
Ship to Specific Countries,Wysyłka do określonych krajów
Debug,Odpluskwić
Show Method if Not Applicable,"Pokaż metodę, jeśli nie dotyczy"
Sort Order,Porządek sortowania
