Downloadable Information,Informacje do pobrania
Start Download,Rozpocznij pobieranie
You have not purchased any downloadable products yet.,Nie kupiłeś jeszcze żadnych produktów do pobrania.
Back,Plecy
download,pobieranie
Gift Message,Wiadomość na prezent
From:,Od:
To:,Do:
Message:,Wiadomość:
Product Name,Nazwa produktu
Qty,Ilość
Subtotal,Suma częściowa
Discount Amount,Kwota rabatu
Row Total,Rząd łącznie
Qty Invoiced,Ilość zafakturowanych
Ordered,Zamówione
Shipped,Wysłane
Canceled,Odwołany
Refunded,Zwrócono środki
We could not detect a size.,Nie mogliśmy wykryć rozmiaru.
Downloadable Product Section,Sekcja produktów do pobrania
Downloads,Pliki do pobrania
Downloadable Product Options,Opcje produktu do pobrania
Order Item Status to Enable Downloads,"Zamów status przedmiotu, aby włączyć pobieranie"
Default Maximum Number of Downloads,Domyślna maksymalna liczba pobrań
Default Sample Title,Domyślny tytuł próbki
Default Link Title,Domyślny tytuł linku
Open Links in New Window,Otwórz linki w nowym oknie
Use Content-Disposition,Użyj Content-Disposition
Disable Guest Rachunekout if Cart Contains Downloadable Items,"Wyłączyć usługę Guest Rachunekout, jeśli koszyk zawiera elementy do pobrania"
Guest checkout will only work with shareable.,Kasa gościa działa tylko z udostępnianiem.
