Back,Powrót
You saved the role.,Zapisałeś grupę
An error occurred while saving this role.,Wystąpił błąd podczas zapisywania grupy
You saved the user.,Zapisałeś użytkownika
A user with the same user name or email already exists.,Nazwa lub email są zajęte
Recommended,Zalecane
Forced,Wymuszony
"Sorry, but this password has already been used. Please create another.","Przepraszamy, to hasło jest już w użyciu. Wybierz inne"
email,email
password,hasło
username,użytkownik
You did not sign in correctly or your account is temporarily disabled.,Nie zalogowałeś isę poprawnie lub twoje konto jest zablokowane
You need more permissions to access this.,"Potrzebujesz więcej uprawnień, aby tam wejść"
Your account is temporarily disabled.,Twoje konto jest czasowo zablokowane
User Name is a required field.,Użytkownik jest wymaganym polem
First Name is a required field.,Pierwsze imię jest wymaganym polem
Last Name is a required field.,Nazwisko jest wymaganym polem
Please enter a valid email.,Proszę podać poprawny adres email
Password is required field.,Hasło jest wymaganym polem
Your password must be at least %1 characters.,Twoje hasło musi się składać przynajmniej z %1 znaków
Your password must include both numeric and alphabetic characters.,Twoje hasło musi zawierać cyfry i litery
Your password confirmation must match your password.,potwierdzenie hasła musi być takie samo jak hasło
It's time to change your password.,To jest czas na zmianę hasła
"It's time to <a href=""%1"">change your password</a>.","To jest czas na<a href=""%1"">zmianę hasła</a>."
Your password has expired; please contact your administrator.,Twoje hasło wygasło.
Password Help,Hasło pomoc
Enter your email address.  You will receive an email with a link to reset your password.,Wpisz twój email adres
Email address,Email adres
Retrieve Password,Powtórz hasło
Back to Sign in,Powrót do logowania
Forgot your password?,Zapomniałeś hasła?
Reset a Password,Resetuj hasło
Confirm New Password,Potwierdź nowe hasło
Reset Password,Resetuj hasło
Roles Resources,Zasoby grupy
Resource Access,Dostęp do zasobów
Custom,Typowy
All,Wszyscy
Resources,Zasobuy
Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?,Uwaga\r\n To usunie użytkownika z danej grupy.
Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?,Uwaga\r\n To usunie użytkowników z danej grupy
Password Reset Confirmation for %name,Potwierdzenie resetu hasła dla %name
"%name,","%name,"
There was recently a request to change the password for your account.,Ostatnio było zadanie resetu hasła do Twojego konta
"If you requested this change, reset your password here:","Jeżeli to ty, zmień je tutaj:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Jeżeli to nie ty, zignoruj to"
"Thank you,",Dziękujemy.
New %changes for %user_name,Nowe %changes dla %user_name
"Hello,","Witaj,"
We have received a request to change the following information associated with your account at %store_name: %changes.,Dostaliśmy żądanie o zmianie informacji na %store_name: %changes.
"If you have not authorized this action, please contact us immediately at %store_email","Jak to nie ty, to zgłoś nam to %store_email"
or call us at %store_phone,lub zadzwoń do nas na %store_phone
"Thanks,",Dziękujemy.
All Users,Wszyscy użytkownicy
User Roles,Grupy użytkowników
User Notification Template,Wzór powiadomień użytkowników
"Email template chosen based on theme fallback when ""Default"" option is selected.","Szablon poczty e-mail wybrany w oparciu o opcję zastępowania tematów, gdy wybrano opcję ""Domyślna""."
Maximum Login Failures to Lockout Account,Konto zablokowane po zbyt wielu próbach nieudanego dostępu
We will disable this feature if the value is empty.,"Zablokujemy to, gdy wartość jest pusta"
Lockout Time (minutes),Zablokowane czasowo (minuty)
Password Lifetime (days),Żywotność hasła
We will disable this feature if the value is empty. ,"Zablokujemy to, gdy wartość jest pusta"
Password Change,Zmiana hasła
Unlock,Odblokowanie
ID,ID
Username,Nazwa użytkownika
Last login,Ostatnie logowanie
Failures,Błędy
Unlocked,Odblokowane
