Please correct the tab configuration and try again. Tab Id should be not empty,Popraw konfigurację karty i spróbuj ponownie. Identyfikator karty nie powinien być pusty,,
Please correct the tab configuration and try again.,Popraw konfigurację karty i spróbuj ponownie.,,
You have logged out.,Wylogujesz się.,,
Specified cache type(s) don't exist: %1,Określone typy buforów nie istnieją: %1,,
The image cache was cleaned.,Usunięto pamięć podręczną obrazu.,,
An error occurred while clearing the image cache.,Podczas usuwania pamięci podręcznej obrazu wystąpił błąd.,,
The JavaScript/CSS cache has been cleaned.,Pamięć podręczna JavaScript / CSS została oczyszczona.,,
An error occurred while clearing the JavaScript/CSS cache.,Podczas usuwania pamięci podręcznej JavaScript / CSS wystąpił błąd.,,
The static files cache has been cleaned.,Pamięć podręczna plików statycznych została oczyszczona.,,
You flushed the cache storage.,Spłukiwałeś pamięć podręczną.,,
The Magento cache storage has been flushed.,Magazyn pamięci podręcznej Magento został spłukany.,,
Cache Management,Zarządzanie pamięcią podręczną,,
You can't change status of cache type(s) in production mode,Nie można zmienić stanu typów pamięci podręcznej w trybie produkcyjnym,,
%1 cache type(s) disabled.,%1 cache type (s) disabled.,,
An error occurred while disabling cache.,Podczas wyłączania pamięci podręcznej wystąpił błąd.,,
%1 cache type(s) enabled.,%1 cache type (s) enabled.,,
An error occurred while enabling cache.,Wystąpił błąd podczas udostępniania pamięci podręcznej.,,
%1 cache type(s) refreshed.,Odświeżono typ (y) pamięci podręcznej %1.,,
An error occurred while refreshing cache.,Podczas odświeżania pamięci podręcznej wystąpił błąd.,,
Dashboard,Deska rozdzielcza,,
We updated lifetime statistic.,Zaktualizowaliśmy statystyki życia.,,
We can't refresh lifetime statistics.,Nie możemy odświeżyć statystyk dotyczących trwałości.,,
invalid request,Nieprawidłowe żądanie,,
see error log for details,Szczegółowe informacje można znaleźć w dzienniku błędów,,
Service unavailable: %1,Usługa niedostępna: %1,,
Error,Błąd,,
Access Denied.,Brak dostępu.,,
You need more permissions to do this.,"Potrzebujesz więcej uprawnień, aby to zrobić.",,
No search modules were registered,Nie zarejestrowano modułów wyszukiwania,,
Please make sure that all global admin search modules are installed and activated.,"Upewnij się, że wszystkie moduły wyszukiwania globalnego są zainstalowane i aktywowane.",,
You saved the account.,Zapisałeś konto.,,
An error occurred while saving account.,Podczas zapisywania konta wystąpił błąd.,,
You deleted the design change.,Usunięto zmianę projektu.,,
You can't delete the design change.,Nie można usunąć zmiany projektu.,,
Store Design,Projektowanie sklepu,,
Edit Store Design Change,Edytuj zmianę projektu sklepu,,
You saved the design change.,Zapisałeś zmianę projektu.,,
System,System,,
Manage Stores,Zarządzaj sklepami,,
The database was backed up.,Została utworzona kopia zapasowa bazy danych.,,
We can't create a backup right now. Please try again later.,W tej chwili nie możemy utworzyć kopii zapasowej. Spróbuj ponownie później.,,
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Usunięcie %1 nie spowoduje usunięcia informacji związanych z %1 (np. Kategorii, produktów itp.), Ale %1 nie będzie mógł zostać przywrócony. Zaleca się utworzenie kopii zapasowej bazy danych przed usunięciem %1.",,
Something went wrong. Please try again.,Coś poszło nie tak. Proszę spróbuj ponownie.,,
This store cannot be deleted.,Ten sklep nie może zostać usunięty.,,
You deleted the store.,Usunął sklep.,,
Unable to delete the store. Please try again later.,Nie można usunąć magazynu. Spróbuj ponownie później.,,
This store view cannot be deleted.,Ten widok sklepu nie może zostać usunięty.,,
Store View,Widok sklepu,,
You deleted the store view.,Usunięto widok sklepu.,,
Unable to delete the store view. Please try again later.,Nie można usunąć widoku sklepu. Spróbuj ponownie później.,,
This website cannot be deleted.,Ta strona nie może zostać usunięta.,,
You deleted the website.,Usunęła stronę.,,
Unable to delete the website. Please try again later.,Nie można usunąć witryny. Spróbuj ponownie później.,,
The website does not exist.,Strona nie istnieje.,,
Before modifying the website code please make sure it is not used in index.php.,"Przed zmodyfikowaniem kodu witryny upewnij się, że nie jest używany w pliku index.php.",,
The store does not exist,Sklep nie istnieje,,
Store view doesn't exist,Widok sklepu nie istnieje,,
Before modifying the store view code please make sure it is not used in index.php.,"Przed modyfikacją kodu widoku sklepu upewnij się, że nie jest używany w pliku index.php.",,
New ,Nowy,,
All Stores,Wszystkie sklepy,,
You saved the website.,Zapisałeś stronę.,,
The default store cannot be disabled,Nie można wyłączyć domyślnego magazynu,,
You saved the store view.,Zapisałeś widok sklepu.,,
An inactive store view cannot be saved as default store view,Nieaktywny widok sklepu nie może zostać zapisany jako domyślny widok magazynu,,
You saved the store.,Zapisałeś sklep.,,
Something went wrong while saving. Please review the error log.,"Coś poszło nie tak, oszczędzając. Sprawdź dziennik błędów.",,
Last 24 Hours,Ostatnie 24 godziny,,
Last 7 Days,Ostatnie 7 dni,,
Current Month,Obecny miesiąc,,
YTD,YTD,,
2YTD,2YTD,,
Authentication storage is incorrect.,Magazyn autoryzacji jest nieprawidłowy.,,
You did not sign in correctly or your account is temporarily disabled.,Nie zalogujesz się prawidłowo lub Twoje konto zostało tymczasowo wyłączone.,,
Authentication error occurred.,Wystąpił błąd autoryzacji.,,
Admin session lifetime must be less than or equal to 31536000 seconds (one year),Czas trwania sesji administracyjnej musi wynosić mniej niż 31536000 sekund (jeden rok),,
Admin session lifetime must be greater than or equal to 60 seconds,Czas trwania sesji administracyjnej musi być większy lub równy 60 sekund,,
Order,Zamówienie,,
Order #%1,Zamówienie # %1,,
Access denied,Brak dostępu,,
Please try to sign out and sign in again.,Spróbuj wylogować się i zaloguj ponownie.,,
"If you continue to receive this message, please contact the store owner.","Jeśli nadal otrzymujesz tę wiadomość, prośbę",,
You need more permissions to access this.,"Potrzebujesz więcej uprawnień, aby uzyskać dostęp do tego.",,
"Welcome, please sign in","Witamy, zaloguj się",,
Username,Nazwa Użytkownika,,
user name,Nazwa Użytkownika,,
Password,Hasło,,
password,hasło,,
Sign in,Zaloguj,,
Select Range:,Wybierz zakres:,,
No Data Found,Nie znaleziono danych,,
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Wykres jest wyłączony. Aby włączyć wykres, kliknij <a href=""%1""> tutaj </a>.",,
Last Orders,Ostatnie zlecenia,,
Last Search Terms,Ostatnie wyszukiwane hasła,,
Top Search Terms,Najczęściej wyszukiwane hasła,,
There are no search keywords.,Brak słów kluczowych w wyszukiwarce.,,
View Statistics For:,Zobacz statystyki dla:,,
All Websites,Wszystkie witryny internetowe,,
Reload Data,Przeładuj dane,,
Browse Files...,Przeglądaj pliki ...,,
Magento,Magento,,
Copyright &copy,  %1 Magento Commerce Inc. Wszelkie prawa zastrzeżone.,Copyright &copy, %1 Magento Commerce Inc. All rights reserved.
ver. %1,ver.  %1,,
Magento Admin Panel,Panel administracyjny Magento,,
Account Setting,Ustawienia konta,,
Customer View,Widok klienta,,
Sign Out,Wyloguj się,,
About the calendar,O kalendarzu,,
Close,Blisko,,
Go Today,Przejdź dzisiaj,,
Previous,Poprzedni,,
Next,Następny,,
WK,WK,,
Time,Czas,,
Hour,Godzina,,
Minute,Chwila,,
JavaScript may be disabled in your browser.,JavaScript może być wyłączony w Twojej przeglądarce.,,
To use this website you must first enable JavaScript in your browser.,Aby korzystać z tej strony musisz włączyć obsługę JavaScript w przeglądarce.,,
"This is only a demo store. You can browse and place orders, but nothing will be processed.","To tylko sklep demo. Możesz przeglądać i składać zamówienia, ale nic nie zostanie przetworzone.",,
Report an Issue,Zgłoś problem,,
Store View:,Widok sklepu:,,
Stores Configuration,Przechowuje konfigurację,,
Please confirm scope switching. All data that hasn't been saved will be lost.,"Potwierdź wybór zakresu. Wszystkie dane, które nie zostały zapisane, zostaną utracone.",,
Additional Cache Management,Dodatkowe zarządzanie pamięcią podręczną,,
Flush Catalog Images Cache,Płukanie Katalog obrazów Cache,,
Pregenerated product images files,Pliki obrazów produktów wstępnie generowanych,,
Flush JavaScript/CSS Cache,Flush JavaScript / CSS Cache,,
Themes JavaScript and CSS files combined to one file,Motywy Skrypty JavaScript i CSS połączone w jeden plik,,
Flush Static Files Cache,Płukanie plików ciał stałych,,
Preprocessed view files and static files,Pliki wstępnie przetwarzane i pliki statyczne,,
Catalog,Katalog,,
JavaScript/CSS,JavaScript / CSS,,
JavaScript/CSS Cache,JavaScript / CSS Cache,,
No records found.,Nic nie znaleziono.,,
Images,Obrazy,,
Big Image,Duże zdjęcie,,
Thumbnail,Miniaturka,,
Additional Settings,Dodatkowe ustawienia,,
records found,znaleziono rekordy,,
selected,wybrany,,
per page,na stronę,,
Previous page,Poprzednia strona,,
of %1, %1,,
Next page,Następna strona,,
Export to:,Eksportować do:,,
Actions,działania,,
Mass Actions,Akty masowe,,
Unselect All,Odznacz wszystko,,
Select Visible,Wybierz Widoczne,,
Unselect Visible,Usuń zaznaczenie,,
Changes have been made to this section that have not been saved.,"Wprowadzono zmiany w tej sekcji, które nie zostały zapisane.",,
This tab contains invalid data. Please resolve this before saving.,Ta karta zawiera nieprawidłowe dane. Proszę rozwiązać ten problem przed zapisaniem.,,
The information in this tab has been changed.,Informacje na tej karcie zostały zmienione.,,
Loading...,Ładuję...,,
We could not detect a size.,Nie mogliśmy wykryć rozmiaru.,,
We don't recognize or support this file extension type.,Nie rozpoznamy ani nie wspieramy tego typu rozszerzenia.,,
Allow everything,Pozwól na wszystko,,
Magento Admin,Magento Admin,,
Global Search,Wyszukiwanie globalne,,
Marketing,Marketing,,
SEO & Search,SEO i wyszukiwanie,,
User Content,Treść użytkownika,,
Content,Zadowolony,,
Elements,Elementy,,
Design,Projekt,,
Schedule,Rozkład,,
Settings,Ustawienia,,
Attributes,Atrybuty,,
Other Settings,Inne ustawienia,,
Data Transfer,Transfer danych,,
Magento Connect,Magento Connect,,
Connect Manager,Connect Manager,,
Package Extensions,Rozszerzenia pakietu,,
Tools,Przybory,,
Web Setup Wizard,Kreator konfiguracji sieci,,
Currency,Waluta,,
Communications,Komunikacja,,
Services,Usługi,,
Advanced,zaawansowane,,
Disable Modules Output,Wyłącz wyjście modułów,,
Store Email Addresses,Przechowuj adresy e-mail,,
Custom Email 1,Niestandardowy adres e-mail 1,,
Sender Email,Email nadawcy,,
Sender Name,Imię nadawcy,,
Custom Email 2,Niestandardowy adres e-mail 2,,
General Contact,Kontakt ogólny,,
Sales Representative,Przedstawiciel Handlowy,,
Customer Support,Pomoc techniczna,,
Developer,Deweloper,,
Debug,Odpluskwić,,
Enabled Template Path Hints for Storefront,Włącz wskazówki dotyczące ścieżki szablonu dla sklepu,,
Enabled Template Path Hints for Admin,Włączono wskazówki dotyczące ścieżki szablonu dla administratora,,
Add Block Names to Hints,Dodaj nazwy bloków do wskazówek,,
Template Settings,Ustawienia szablonu,,
Allow Symlinks,Zezwól na Symlinks,,
Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.,"Ostrzeżenie! Włączenie tej funkcji nie jest zalecane w środowiskach produkcyjnych, ponieważ stanowi potencjalne zagrożenie dla bezpieczeństwa.",,
Minify Html,Minify Html,,
Minification is not applied in developer mode.,Minimalizacja nie jest stosowana w trybie programisty.,,
Translate Inline,Tłumaczenie w wierszu,,
Enabled for Storefront,Włączono dla sklepu,,
Enabled for Admin,Włączone dla administratora,,
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.","Tłumacze, bloki i inne skrzynki wyjściowe powinny być wyłączone w obu wersjach tłumaczenia w wierszach usługi Storefront i Admin.",,
JavaScript Settings,Ustawienia JavaScript,,
Merge JavaScript Files,Połącz pliki JavaScript,,
Enable JavaScript Bundling,Włącz pakiety JavaScript,,
Minify JavaScript Files,Minimalizuj pliki JavaScript,,
CSS Settings,Ustawienia CSS,,
Merge CSS Files,Scalanie plików CSS,,
Minify CSS Files,Minify pliki CSS,,
Image Processing Settings,Ustawienia przetwarzania obrazu,,
Image Adapter,Adapter obrazu,,
Static Files Settings,Ustawienia plików statycznych,,
Sign Static Files,Zarejestruj statyczne pliki,,
Country Options,Opcje kraju,,
Allow Countries,Zezwalaj na kraje,,
Default Country,Kraj domyślny,,
European Union Countries,Kraje Unii Europejskiej,,
Top destinations,Najlepsze miejsca docelowe,,
Locale Options,Opcje regionalne,,
Timezone,Strefa czasowa,,
Locale,Widownia,,
First Day of Week,Pierwszy dzień tygodnia,,
Weekend Days,Weekendy,,
Store Name,Nazwa sklepu,,
Store Phone Number,Przechowuj numer telefonu,,
Store Hours of Operation,Przechowywać godziny pracy,,
Country,Kraj,,
Region/State,Region / państwo,,
ZIP/Postal Code,Kod pocztowy,,
City,Miasto,,
Street Address,Adres ulicy,,
Street Address Line 2,Adres - linia 2,,
VAT Number,Numer VAT,,
Single-Store Mode,Tryb pojedynczego magazynu,,
Enable Single-Store Mode,Włącz tryb pojedynczego magazynu,,
This setting will not be taken into account if system has more than one store view.,"To ustawienie nie będzie brane pod uwagę, jeśli system ma więcej niż jeden widok magazynu.",,
Mail Sending Settings,Ustawienia wysyłania poczty,,
Disable Email Communications,Wyłącz komunikację e-mailową,,
Host,Gospodarz,,
Port (25),Port (25),,
Set Return-Path,Ustaw ścieżkę powrotną,,
Return-Path Email,E-mail z informacją zwrotną,,
Admin,Admin,,
Admin User Emails,Administracyjne wiadomości e-mail użytkowników,,
Forgot Password Email Template,Szablon wiadomości e-mail z hasłem,,
"Email template chosen based on theme fallback when ""Default"" option is selected.","Szablon poczty e-mail wybrany w oparciu o opcję zastępowania tematów, gdy wybrano opcję ""Domyślna"".",,
Forgot and Reset Email Sender,Zapomniałeś i zresetuj nadawcę wiadomości e-mail,,
Startup Page,Strona startowa,,
Admin Base URL,Adres URL administratora,,
Use Custom Admin URL,Użyj niestandardowego adresu URL administratora,,
Custom Admin URL,Niestandardowy URL administratora,,
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Upewnij się, że URL bazowy kończy się ""/"" (ukośnik), np. http: // twoja domena / magento /",,
Use Custom Admin Path,Użyj niestandardowej ścieżki administracyjnej,,
Custom Admin Path,Niestandardowa ścieżka administracyjna,,
You will have to sign in after you save your custom admin path.,Po zapisaniu niestandardowej ścieżki administracyjnej musisz się zalogować.,,
Security,Bezpieczeństwo,,
Recovery Link Expiration Period (hours),Okres ważności łącza odzyskiwania (godziny),,
Please enter a number 1 or greater in this field.,W tym polu wpisz numer 1 lub więcej.,,
Add Secret Key to URLs,Dodaj klucz tajny do adresów URL,,
Login is Case Sensitive,Logowanie jest rozróżniane na wielkość liter,,
Admin Session Lifetime (seconds),Czas trwania sesji administratora (w sekundach),,
Please enter at least 60 and at most 31536000 (one year).,Proszę podać co najmniej 60 i najwyżej 31536000 (jeden rok).,,
Enable Charts,Włącz wykresy,,
Web,Sieć,,
Url Options,Opcje Url,,
Add Store Code to Urls,Dodaj kod sklepu do adresów URL,,
"
                        <strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).
                    ","
                        <strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).
                    ",,
Auto-redirect to Base URL,Automatyczne przekierowanie do podstawowego adresu URL,,
Search Engine Optimization,optymalizacja wyszukiwarki,,
Use Web Server Rewrites,Używaj przebudowy serwera WWW,,
Base URLs,Podstawowe adresy URL,,
Base URL,Podstawowy URL,,
Specify URL or {{base_url}} placeholder.,Określ adres URL lub {{base_url}} symbol zastępczy.,,
Base Link URL,URL linku podstawowego,,
Base URL for Static View Files,Adres bazowy dla plików statycznych,,
May be empty or start with {{unsecure_base_url}} placeholder.,Może być pusty lub rozpocząć od symbolu zastępczego {{unsecure_base_url}}.,,
Base URL for User Media Files,Podstawowy URL dla plików multimedialnych użytkownika,,
Base URLs (Secure),Podstawowe adresy URL (Secure),,
Secure Base URL,Bezpieczny adres bazowy,,
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.",Określ adres URL lub {{base_url}} lub symbol zastępczy {{unsecure_base_url}}.,,
Secure Base Link URL,Bezpieczny adres URL linku bazowego,,
Secure Base URL for Static View Files,Bezpieczny adres bazowy dla plików statycznych,,
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.",Może być pusta lub rozpocząć od {{secure_base_url}} lub {{unsecure_base_url}} zastępczy.,,
Secure Base URL for User Media Files,Bezpieczny adres bazowy dla plików nośników użytkownika,,
Use Secure URLs on Storefront,Użyj bezpiecznych adresów URL na stronie sklepu,,
Use Secure URLs in Admin,Użyj bezpiecznych adresów URL w usłudze Admin,,
Enable HTTP Strict Transport Security (HSTS),Włącz zabezpieczenie HTTP Strict Transport Security (HSTS),,
Upgrade Insecure Requests,Uaktualni  niepoprawne żądania,,
Offloader header,Głowica wyładowcza,,
Default Pages,Domyślne strony,,
Default Web URL,Domyślny adres internetowy,,
Default No-route URL,Domyślny adres URL nie będący trasą,,
Session Validation Settings,Ustawienia walidacji sesji,,
Validate REMOTE_ADDR,Sprawdź poprawność REMOTE_ADDR,,
Validate HTTP_VIA,Sprawdź poprawność protokołu HTTP_VIA,,
Validate HTTP_X_FORWARDED_FOR,Zatwierdź HTTP_X_FORWARDED_FOR,,
Validate HTTP_USER_AGENT,Zatwierdź HTTP_USER_AGENT,,
Use SID on Storefront,Użyj identyfikatora SID na stronie Sklepu,,
Allows customers to stay logged in when switching between different stores.,Pozwala klientom pozostać zalogowanym podczas przełączania między różnymi sklepami.,,
Cache Type,Typ bufora,,
Description,Opis,,
Tags,Tagi,,
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class = ""page-heading""> 404 Error </ h1> <p> nie znaleziono strony. </ p>",,
Community Edition,Wydanie wspólnotowe,,
Default Theme,Domyślny motyw,,
"If no value is specified, the system default is used. The system default may be modified by third party extensions.","Jeśli nie określono żadnej wartości, używane jest domyślne ustawienie systemu. Domyślnie system może zostać zmodyfikowany przez rozszerzenia innych firm.",,
Applied Theme,Temat stosowany,,
Design Rule,Reguła projektowa,,
User Agent Rules,Zasady agenta użytkownika,,
Pagination,Paginacja,,
How many links to display at once.,Ile łączy do wyświetlania na raz.,,
Pagination Frame,Ramka Paginacji,,
"If current frame position does not cover utmost pages, it renders the link to current position plus/minus this value.","Jeśli bieżąca pozycja ramki nie obejmuje najdalszych stron, powoduje to link do aktualnej pozycji plus / minus tę wartość.",,
Pagination Frame Skip,Ramka Paginacji Pomiń,,
"Alternative text for the previous pages link in the pagination menu. If empty, the default arrow image is used.","Alternatywny tekst poprzednich stron w menu stronicowania. Jeśli jest pusty, używany jest domyślny obraz strzałki.",,
Anchor Text for Previous,Anchor Text for Previous,,
"Alternative text for the next pages link in the pagination menu. If empty, default arrow image is used.","Alternatywny tekst dla kolejnych stron w menu podziału stron. Jeśli jest pusty, używany jest domyślny obraz strzałki.",,
Anchor Text for Next,Przyklej tekst do następnego,,
Theme Name,Nazwa motywu,,
