Invalid shipping method,Niepoprawny sposób dostawy,
There are more than one shipping addresses.,Jest więcej niż jeden sposób dostawy.,
"Sorry, guest checkout is not available.","Przepraszamy, rachunek dla gości nie jest dostępny.",
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Musisz potwierdzić konto. Sprawdź maila lub <a href=""%1"">naciśnij tutaj</a> po nowy link.",
Load customer quote error,Błąd podczas ładowania liczby użytkowników,
Error message!,Błąd!,
Error!,Błąd!,
DB exception,Błąd bazy danych,
Message,Wiadomość,
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Drukuj zamówienie</a>",
Apply Discount Code,Wprowadź kod promocyjny,
Enter discount code,Wpisz kod proocyjny,
Apply Discount,Akceptuj zniżkę,
Cancel Coupon,Anuluj kupon,
Shopping Cart Items,Produkty w koszyku,
Item,Produkt,
Price,Cena,
Qty,Qty,
Subtotal,Razem,
Continue Shopping,Kontynuuj zakupy,
Clear Shopping Cart,Wyczyść koszyk,
Update Shopping Cart,Uaktualni koszyk,
Update Cart,Uaktualni koszyk,
See price before order confirmation.,Zobacz cenę przed złożeniem zamówienia ,
What's this?,Co to jest?,
Edit item parameters,Edytuj parametry,
Edit,Edytuj parametry,
Remove item,Usuń produkt,
You have no items in your shopping cart.,Koszyk jest pusty.,
"Click <a href=""%1"">here</a> to continue shopping.","Naciśnij <a href=""%1"">tutaj</a> aby kontynuować zakupy.",
Estimate Tax,Oszacowanie podatku,
Estimate Shipping and Tax,Oszacowanie podatku oraz kosztów dostawy, 
Excl. Tax,Nie zawiera podatku,
Loading...,Wczytywanie…,
Order #,Zamówienie #,
Proceed to Rachunekout,Przejdź do płatności,
Product Name,Nazwa produktu,
Incl. Tax,Zawiera podatek,
Your order number is: %1.,Twój numer zamówienia: %1.,
Your order # is: <span>%1</span>.,Twoje zamówienie # jest: <span>%1</span>.,
We'll email you an order confirmation with details and tracking info.,Wyślemy emaila z potwierdzeniem zamówienia oraz z informacjami o lokalizacji przesyłki,
Payment Transaction Failed Reminder,Przypomnienie o niepowodzeniu podczas płacenia,
Payment Transaction Failed,Błąd podczas płatności,
Reason,Powód,
Rachunekout Type,Typ płatności,
Customer:,Klient:,
Items,Produkty,
Total:,Razem:,
Billing Address:,Adres rozliczeniowy:,
Shipping Address:,Adres dostawy:,
Shipping Method:,Rodzaj dostawy:,
Payment Method:,Rodzaj płatności:,
Date & Time:,Data i czas:,
Sign In,Zaloguj się,
Email Address,Adres email,
Password,Hasło,
Forgot Your Password?,Zapomniałeś hasła?,
My billing and shipping address are the same,Mój adres rozliczeniowy jest taki sam jak adres dostawy,
Update,Uaktualni  ,
Cancel,Anuluj,
Save in address book,Zapisz w książce adresowej,
Estimated Total,Całkowite oszacowanie,
You can create an account after checkout.,Możesz stworzyć konto po złożeniu zamówienia,
You already have an account with us. Sign in or continue as guest.,Aktualnie posiadasz już tutaj konto. Zaloguj się lub kontynuuj jako gość.,
Login,Logowanie,
See Details,Zobacz szczegóły,
Options Details,Szczegóły opcji,
Remove,Usuń,
Cart Subtotal,Podliczenie koszyka,
Payment Information,Informacja o płatności,
No Payment method available.,Nie ma dostępnej metody płatności,
You can track your order status by creating an account.,Możesz śledzić przesyłkę po stworzeniu konta.,
Place Order,Złóż zamówienie,
Forgot an Item?,Zapomniałeś o produkcie?,
Edit Your Cart,Edytuj koszyk,
Ship Here,Dostarcz tutaj,
Ship To:,Dostarcz do:,
edit,edytuj,
Order Summary,Podsumowanie zamówienia,
View and Edit Cart,Zobacz i edytuj koszyk,
View Details,Zobacz szczegóły,
Field ,Niepowodzenie,
 is required.,jest wymagane.,
Provided Zip/Postal Code seems to be invalid.,Kod pocztowy jest niepoprawny,
 Example: ,Przykład:,
If you believe it is the right one you can ignore this notice.,"Jeżeli uważasz, że jest poprawnie, możesz zignorować to ostrzeżenie",
New Address,Nowy adres,
Are you sure you would like to remove this item from the shopping cart?,"Czy jesteś pewien, że chcsz usunąć ten produkt z zamówienia?",
Review & Payments,Oceny i płatności,
Select a new payment method,Wybierz nową metodę płatności.,
Shipping,Dostawa,
Save Address,Zapisz adres,
Please specify a shipping method.,Wybierz sposób dostawy,
Rachunekout Options,Opcje rozliczenia,
Enable Onepage Rachunekout,Dozwolony jednorazowy rachunek,
Allow Guest Rachunekout,Pozwolenie na rachunek dla gości,
Display Billing Address On,Wyświetl adres rozliczeniowy: wł,
Maximum Number of Items to Display in Order Summary,Maksymalna liczba produktów dostępna w podliczeniu,
Quote Lifetime (days),Czas przechowywania,
After Adding a Product Redirect to Shopping Cart,Po dodaniu produkt przekieruj do koszyka,
Number of Items to Display Pager,Liczba produktów widoczna na stronie,
My Cart Link,Link do koszyka,
Display Cart Summary,Wyświetl koszyk,
Shopping Cart Sidebar,Suwak koszyka,
Display Shopping Cart Sidebar,Wyświetl suwak koszyka,
Number of Items to Display Scrollbar,Liczba produktów do wyświetlania (suwak),
Maximum Number of Items to Display,Maksymalna liczba produktów do wyświetlenia,
Payment Failed Emails,Niepowodzenie płatności.,
Payment Failed Email Sender,Niepowodzenie płatności.,
Payment Failed Email Receiver,Niepowodzenie płatności.,
Payment Failed Template,Niepowodzenie płatności.,
"Email template chosen based on theme fallback when ""Default"" option is selected.",Email template chosen based on theme fallback ,
Send Payment Failed Email Copy To,Wyślij maila o niepowodzeniu płatności,
"Separate by "","".","Oddzielone przez ‘,’",
Send Payment Failed Email Copy Method,Wysyłanie informacji o niepowodzeniu płatności na maila,
Summary,Podsumowanie,
Order Total,Całe zamówienie,
Shipping Address,Adres dostawy,
We'll send your order confirmation here.,Wyślemy potwierdzenie tutaj,
Payment,Płatność,
Not yet calculated,Jeszcze nie policzone,
We received your order!,Otrzymaliśmy Twoje zamówienie,
Thank you for your purchase!,Dziękujemy za zakup.,
Item in Cart,produkt(y) w koszyku,
